reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
187.33.241.19,4,28,apuanaesportes.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
187.33.241.58,4,28,cldo.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
177.91.134.172,4,8,DNS Server: 172-134-91-177.worldnetrn.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
138.36.5.234,4,30976,DNS Server: din-138-36-5-234.vivatelecomnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Mossoró
167.250.141.148,4,88560,DNS Server: din-167-250-141-148.jhnet.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Caicó
187.33.241.16,4,4,hoogli.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
187.33.241.49,4,53,literaturaacessivel.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
187.33.241.10,4,35,maisgazeta.com,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
187.33.241.13,4,22,maranhaohoje.com,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
128.201.216.130,4,54,Ookla Speedtest Server 16299: speedtest2.qerotelecom.com,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Extremoz
45.234.108.3,4,92,Ookla Speedtest Server 17673: speed01.connectnetbrasil.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Ipanguaçu
170.80.156.3,4,375,Ookla Speedtest Server 33874: speedtest.zaznatal.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
186.211.185.194,4,331,Ookla Speedtest Server 38540: speedtest.jonnet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
143.137.76.36,4,334,Ookla Speedtest Server 38756: speed.net4you.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Tibau do Sul
170.82.254.138,4,228,Ookla Speedtest Server 49970: speedtest.tcomp.net.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
45.181.143.22,4,113,Ookla Speedtest Server 55940: speedt.prlinkprovedor.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
200.9.104.10,4,323,Ookla Speedtest Server 55947: speedt.clicktellecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
181.232.228.34,4,87,Ookla Speedtest Server 56177: teste.clikpower.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
187.33.228.81,4,320,Ookla Speedtest Server 56546: speedt.connectnownet.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
177.11.66.16,4,267,Ookla Speedtest Server 57973: speedt.ionnetbr.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
170.82.253.4,4,350,Ookla Speedtest Server 61842: speedt.netfulltelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Senador Elói de Souza
187.19.151.214,4,-261666,Ookla Speedtest Server 63044: speedtest.agilitytelecomcruz.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,São Tomé
170.233.120.182,4,26048,Ookla Speedtest Server 63277: velocidade.jctelecomsjm.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
170.82.252.136,4,31398,Ookla Speedtest Server: rsp1.jbnettelecom.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
189.124.128.58,4,312,Ookla Speedtest Server: speedtest.cabonatal.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
187.33.241.46,4,66,plugando.com.br,BR,Americas,Latin America and the Caribbean,Brazil,Rio Grande do Norte,,Natal
