reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
210.152.150.200,4,-1,chuken.gr.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Kitakyushu
210.152.121.94,4,-44,dickbruna.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Kitakyushu
92.203.100.23,4,14,digion.com,JP,Asia,Eastern Asia,Japan,Fukuoka,,Fukuoka
113.42.99.133,4,62,DNS Server: 113x42x99x133.ap113.ftth.ucom.ne.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Kamiyamachi
210.48.240.133,4,323060,honzuki.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Wada
210.152.120.155,4,-59,irep.co.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Kitakyushu
210.152.150.163,4,60,izoo.co.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Kitakyushu
210.152.150.250,4,-3,jdmia.or.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Kitakyushu
210.152.121.93,4,-54,jili.or.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Kitakyushu
210.152.148.121,4,67,kanzanji.gr.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Kitakyushu
106.185.149.233,4,3,labornetjp.org,JP,Asia,Eastern Asia,Japan,Fukuoka,,Fukuoka
210.152.121.98,4,-39,sanei.or.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Kitakyushu
202.32.10.2,4,2,sra.co.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Chūōku
210.152.121.82,4,-27,sugita-ace.co.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Kitakyushu
210.152.149.72,4,43,takatsuki-kankou.org,JP,Asia,Eastern Asia,Japan,Fukuoka,,Kitakyushu
114.156.252.72,4,4,tottori-guide.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Hakozaki
114.156.252.70,4,-2,yonago-navi.jp,JP,Asia,Eastern Asia,Japan,Fukuoka,,Hakozaki
