reflector_ip,ip_version,offset,description,country_code,country_name,region,sub_region
8.129.230.67,4,28,023bj.net,SG,Singapore,Asia,South-eastern Asia
154.85.40.189,4,8,028bbs.com,SG,Singapore,Asia,South-eastern Asia
188.166.242.5,4,5,080whois.com,SG,Singapore,Asia,South-eastern Asia
188.166.226.179,4,4,100comments.com,SG,Singapore,Asia,South-eastern Asia
167.71.208.243,4,3,123dok.com,SG,Singapore,Asia,South-eastern Asia
103.221.220.230,4,21,123flowers.net,VN,Viet Nam,Asia,South-eastern Asia
103.255.238.12,4,1,123host.vn,VN,Viet Nam,Asia,South-eastern Asia
150.107.31.55,4,330,14apartment.com,TH,Thailand,Asia,South-eastern Asia
154.41.240.127,4,11,168slotxo.org,ID,Indonesia,Asia,South-eastern Asia
14.225.74.11,4,25355456,1office.vn,VN,Viet Nam,Asia,South-eastern Asia
103.7.9.22,4,-73,1updemo.com,SG,Singapore,Asia,South-eastern Asia
34.87.24.201,4,3,21cineplex.com,SG,Singapore,Asia,South-eastern Asia
8.134.50.91,4,40,21cl.net,SG,Singapore,Asia,South-eastern Asia
47.74.180.117,4,9,21micro-grid.com,SG,Singapore,Asia,South-eastern Asia
152.42.188.111,4,4,22dragonslot.com,SG,Singapore,Asia,South-eastern Asia
8.130.134.182,4,38,22vd.com,SG,Singapore,Asia,South-eastern Asia
139.59.124.166,4,4,24cash.shop,SG,Singapore,Asia,South-eastern Asia
125.212.247.111,4,33,24h.com.vn,VN,Viet Nam,Asia,South-eastern Asia
103.174.217.8,4,20,24h.com.vn,VN,Viet Nam,Asia,South-eastern Asia
152.42.252.251,4,66,24newsmaster.com,SG,Singapore,Asia,South-eastern Asia
154.19.167.180,4,26,26846.cc,SG,Singapore,Asia,South-eastern Asia
154.19.167.170,4,26,26846.cc,SG,Singapore,Asia,South-eastern Asia
154.19.167.147,4,25,26846.cc,SG,Singapore,Asia,South-eastern Asia
149.129.37.212,4,4,293.net,SG,Singapore,Asia,South-eastern Asia
176.97.64.147,4,-90105,2avia.ru,SG,Singapore,Asia,South-eastern Asia
118.69.197.166,4,22,2banh.vn,VN,Viet Nam,Asia,South-eastern Asia
