reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
14.48.175.188,4,428,60chicken.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
59.0.255.59,4,54000136,all.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.182,4,-23,chungha.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
220.90.81.242,4,40828,daecheonkim.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.216,4,750,daegufc.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
14.48.175.189,4,24,deungdaefood.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
14.48.175.170,4,765,dreamforone.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
118.40.31.227,4,-39842,expo2012.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
14.48.175.184,4,-14,itforone.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
14.48.175.235,4,-19,music-mania.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
220.90.81.249,4,72136,palangshim.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.204,4,582,ri3661.org,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
220.90.81.246,4,154722,shsenc.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
211.223.52.14,4,257,shuwb.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
218.53.235.52,4,1063,sitehis.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.169,4,879,taesangaja.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
14.48.175.233,4,16,thevictory.co.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
14.48.175.215,4,-16,thusima.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
14.48.175.242,4,861,wandocamp.com,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
220.90.81.210,4,-16210,wo.to,KR,Asia,Eastern Asia,South Korea,Gwangju,,Buk-gu
14.48.175.161,4,6,xn--yh4b53j.kr,KR,Asia,Eastern Asia,South Korea,Gwangju,,Gwangju
